'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for December 2017,,,,,,,,,,
Issued at 06:31 GMT on Wednesday 27 December 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/12/2017,5.5,12.2, ,27.5,21.5,79,63,6.67,22.15
REDCLIFFE,02/12/2017,5.8,0.0, ,28.1,23.2,86,62,8.39,23.56
REDCLIFFE,03/12/2017,4.4,0.0, ,28.6,23.2,88,58,4.94,14.02
REDCLIFFE,04/12/2017,2.8,4.6, ,25.9,20.4,92,65,4.37,7.66
REDCLIFFE,05/12/2017,4.9,34.4, ,27.3,19.1,88,56,4.17,20.88
REDCLIFFE,06/12/2017,8.1,0.0, ,31.4,17.0,90,20,4.79,30.00
REDCLIFFE,07/12/2017,7.9,0.0, ,30.8,17.2,85,22,4.45,31.14
REDCLIFFE,08/12/2017,5.5,0.0, ,29.6,20.1,87,55,5.67,20.32
REDCLIFFE,09/12/2017,6.9,8.0, ,28.0,20.2,87,44,6.31,29.51
REDCLIFFE,10/12/2017,6.6,11.4, ,27.2,19.5,82,54,8.47,28.38
REDCLIFFE,11/12/2017,5.9,0.0, ,26.8,20.4,77,57,8.57,21.08
REDCLIFFE,12/12/2017,7.1,0.0, ,27.5,19.1,73,51,8.38,28.49
REDCLIFFE,13/12/2017,6.6,0.0, ,27.3,20.9,79,55,5.42,30.26
REDCLIFFE,14/12/2017,6.3,0.0, ,27.5,19.6,83,49,4.38,28.65
REDCLIFFE,15/12/2017,6.8,0.0, ,28.6,20.5,86,47,4.64,31.03
REDCLIFFE,16/12/2017,7.1,0.4, ,29.1,23.8,79,55,5.85,29.93
REDCLIFFE,17/12/2017,7.1,0.0, ,28.6,22.6,70,49,4.60,30.43
REDCLIFFE,18/12/2017,7.0,0.0, ,27.9,23.2,72,50,4.57,30.07
REDCLIFFE,19/12/2017,6.8,0.0, ,29.2,19.9,83,55,5.64,30.58
REDCLIFFE,20/12/2017,7.7,0.0, ,31.0,21.7,83,50,7.66,30.55
REDCLIFFE,21/12/2017,7.4,0.0, ,30.9,22.5,76,49,6.50,27.12
REDCLIFFE,22/12/2017,6.0,0.0, ,29.7,23.0,82,51,4.19,24.05
REDCLIFFE,23/12/2017,6.5,0.0, ,29.8,22.6,85,55,4.90,27.93
REDCLIFFE,24/12/2017,7.7,0.0, ,31.1,21.1,84,46,6.35,31.31
REDCLIFFE,25/12/2017,8.8,0.0, ,33.6,24.1,93,39,8.46,29.68
REDCLIFFE,26/12/2017,4.9,67.0, ,27.6,20.0,92,64,6.57,21.38
Totals:,,168.1,138, ,,,,,, 
